OTU_ID,SRR900226,SRR901079,SRR901080,SRR901081,SRR901082,SRR901083,SRR901084,SRR901085,SRR901086,SRR901087,SRR901088,SRR901089,SRR901090,SRR901091,SRR901092,SRR901093,SRR901094,SRR901095,SRR901097,SRR901098,SRR901100,SRR901101,SRR901102,SRR901104,SRR901107,SRR901108,SRR901109,SRR901111,SRR901112,SRR901113,SRR901114,SRR901115,SRR901116,SRR901118,SRR901119,SRR901120,SRR901121,SRR901122,SRR901123,SRR901124,SRR901125,SRR901126,SRR901127,SRR901128,SRR901129,SRR901130,SRR901131,SRR901132,SRR901133,SRR901134,SRR901135,SRR901136,SRR901137,SRR901138,SRR901139,SRR901140,SRR901141,SRR901142,SRR901143,SRR901144,Species Assignment,,,,
Otu26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,3,0,4,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales_unclassified,Myxococcales_unclassified
Otu28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified
Otu29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea
Otu30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
Otu31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Bacteroidetes_incertae_sedis_class_incertae_sedis,Bacteroidetes_incertae_sedis_order_incertae_sedis,Bacteroidetes_incertae_sedis_family_incertae_sedis,Ohtaekwangia
Otu32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acidobacteria,Acidobacteria_Gp6,Acidobacteria_Gp6_order_incertae_sedis,Acidobacteria_Gp6_family_incertae_sedis,Gp6
Otu33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Deltaproteobacteria,Myxococcales,Kofleriaceae,Kofleria
Otu34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Armatimonadetes,Armatimonadetes_unclassified,Armatimonadetes_unclassified,Armatimonadetes_unclassified,Armatimonadetes_unclassified
Otu35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Nitriliruptorales,Nitriliruptoraceae,Nitriliruptor
